"ID","AREA_LEVEL","AREA_NAME","SEX","TOTAL_POPULATION","ATTENDING_EARLY_CHILDHOOD","ATTENDING_PRIMARY","ATTENDING_LOWER_SECONDARY","ATTENDING_UPPER_SECONDARY","ATTENDING_OTHER","ATTENDING_LEVEL_NOT_STATED","NOT_ATTENDING_EARLY_CHILDHOOD","NOT_ATTENDING_PRIMARY","NOT_ATTENDING_LOWER_SECONDARY","NOT_ATTENDING_UPPER_SECONDARY","NOT_ATTENDING_OTHER","NOT_ATTENDING_LEVEL_NOT_STATED","NEVER_ATTENDED_SCHOOL","ATTENDANCE_NOT_STATED_EARLY_CHILDHOOD","ATTENDANCE_NOT_STATED_PRIMARY","ATTENDANCE_NOT_STATED_LOWER_SECONDARY","ATTENDANCE_NOT_STATED_UPPER_SECONDARY","ATTENDANCE_NOT_STATED_OTHER","ATTENDANCE_NOT_STATED_LEVEL_NOT_STATED"
"66","DISTRICT","Panchthar","Female","25414","2160","8286","5113","2782","3","31","21","811","2353","3386","13","20","433","0","0","0","0","0","2"
"67","DISTRICT","Ilam","Total","72612","6252","22777","13733","8608","26","102","70","3397","8128","8100","54","49","1315","0","0","0","0","0","1"
"68","DISTRICT","Ilam","Male","37635","3254","11843","7108","4302","13","58","34","2159","4658","3468","29","24","684","0","0","0","0","0","1"
"69","DISTRICT","Ilam","Female","34977","2998","10934","6625","4306","13","44","36","1238","3470","4632","25","25","631","0","0","0","0","0","0"
"70","DISTRICT","Jhapa","Total","273973","30825","95400","53134","26705","153","404","210","14856","22152","21412","235","169","8277","1","1","0","0","0","39"
"71","DISTRICT","Jhapa","Male","138431","16439","49358","27088","13238","115","204","108","7986","11668","8413","83","80","3632","1","0","0","0","0","18"
"72","DISTRICT","Jhapa","Female","135542","14386","46042","26046","13467","38","200","102","6870","10484","12999","152","89","4645","0","1","0","0","0","21"
"73","DISTRICT","Morang","Total","334289","35471","110845","60268","30392","110","267","230","21506","25776","26570","296","176","22299","0","0","0","0","4","79"
"74","DISTRICT","Morang","Male","167438","18917","56900","30792","15303","42","141","126","11257","13416","11002","117","66","9320","0","0","0","0","3","36"
"75","DISTRICT","Morang","Female","166851","16554","53945","29476","15089","68","126","104","10249","12360","15568","179","110","12979","0","0","0","0","1","43"
"76","DISTRICT","Sunsari","Total","285858","29946","93520","48517","24892","210","530","338","20855","21409","21880","314","172","23255","0","1","0","0","2","17"
"77","DISTRICT","Sunsari","Male","142928","16004","48103","24826","12715","134","293","183","10523","10801","9150","145","72","9973","0","0","0","0","0","6"
"78","DISTRICT","Sunsari","Female","142930","13942","45417","23691","12177","76","237","155","10332","10608","12730","169","100","13282","0","1","0","0","2","11"
"79","DISTRICT","Udayapur","Total","113009","9718","37190","21753","11097","27","142","96","7570","11014","9774","76","72","4474","0","0","0","0","0","6"
"80","DISTRICT","Udayapur","Male","56882","5161","19121","10899","5405","9","69","46","4118","5892","4035","29","24","2070","0","0","0","0","0","4"
"81","DISTRICT","Udayapur","Female","56127","4557","18069","10854","5692","18","73","50","3452","5122","5739","47","48","2404","0","0","0","0","0","2"
"82","DISTRICT","Saptari","Total","245857","22319","75873","39320","23701","152","142","233","15417","15018","17954","451","116","35127","0","1","0","0","0","33"
"83","DISTRICT","Saptari","Male","122191","12451","39835","20272","12700","61","76","123","7258","7669","7986","168","42","13532","0","1","0","0","0","17"
"84","DISTRICT","Saptari","Female","123666","9868","36038","19048","11001","91","66","110","8159","7349","9968","283","74","21595","0","0","0","0","0","16"
"85","DISTRICT","Siraha","Total","276755","29261","83671","41808","25755","254","690","403","16247","15298","16301","395","209","46326","3","25","1","3","2","103"
"86","DISTRICT","Siraha","Male","137809","16793","44529","21892","13764","81","409","207","7708","6966","6507","118","89","18670","2","15","1","3","0","55"
"87","DISTRICT","Siraha","Female","138946","12468","39142","19916","11991","173","281","196","8539","8332","9794","277","120","27656","1","10","0","0","2","48"
"88","DISTRICT","Dhanusa","Total","325386","33571","98368","48393","28336","299","278","315","18443","20328","19826","289","209","56618","0","2","0","0","5","106"
"89","DISTRICT","Dhanusa","Male","160434","19052","52005","25372","15701","156","150","165","8672","8801","7862","111","82","22245","0","2","0","0","3","55"
"90","DISTRICT","Dhanusa","Female","164952","14519","46363","23021","12635","143","128","150","9771","11527","11964","178","127","34373","0","0","0","0","2","51"
"91","DISTRICT","Mahottari","Total","278524","24923","80350","41405","23839","174","232","336","16324","14825","13451","267","88","62207","2","11","0","1","0","89"
"92","DISTRICT","Mahottari","Male","136929","13600","41308","21337","13033","82","119","192","7933","7317","6180","75","38","25659","0","5","0","1","0","50"
"93","DISTRICT","Mahottari","Female","141595","11323","39042","20068","10806","92","113","144","8391","7508","7271","192","50","36548","2","6","0","0","0","39"
"94","DISTRICT","Sarlahi","Total","337574","27907","96650","50297","26838","181","494","372","21176","18189","14740","192","111","80328","0","4","0","0","0","95"
"95","DISTRICT","Sarlahi","Male","169794","15516","50197","26227","14544","87","265","209","11208","10264","6982","77","50","34110","0","3","0","0","0","55"
"96","DISTRICT","Sarlahi","Female","167780","12391","46453","24070","12294","94","229","163","9968","7925","7758","115","61","46218","0","1","0","0","0","40"
"97","DISTRICT","Rautahat","Total","344481","27892","97129","44441","23446","1577","822","428","23994","17499","12970","1825","267","92158","1","3","0","0","0","29"
"98","DISTRICT","Rautahat","Male","171460","14845","50151","23409","12926","669","420","249","12308","10124","6728","703","121","38784","0","3","0","0","0","20"
"99","DISTRICT","Rautahat","Female","173021","13047","46978","21032","10520","908","402","179","11686","7375","6242","1122","146","53374","1","0","0","0","0","9"
"100","DISTRICT","Bara","Total","301391","26374","88204","44758","23992","109","686","447","24278","21107","16187","225","177","54830","0","0","0","1","0","16"
"101","DISTRICT","Bara","Male","153581","14197","45916","23124","12817","47","365","264","12987","12214","8174","107","87","23275","0","0","0","0","0","7"
"102","DISTRICT","Bara","Female","147810","12177","42288","21634","11175","62","321","183","11291","8893","8013","118","90","31555","0","0","0","1","0","9"
"103","DISTRICT","Parsa","Total","253220","23883","76864","39538","21722","156","363","383","22256","19362","13118","210","85","35191","0","5","1","2","0","81"
"104","DISTRICT","Parsa","Male","129585","13009","39929","20398","11829","76","205","206","11403","11196","6642","85","37","14521","0","3","0","1","0","45"
"105","DISTRICT","Parsa","Female","123635","10874","36935","19140","9893","80","158","177","10853","8166","6476","125","48","20670","0","2","1","1","0","36"
"106","DISTRICT","Dolakha","Total","47600","3999","15911","10271","5939","38","59","25","2809","4010","3202","61","34","1232","0","0","0","0","0","10"
"107","DISTRICT","Dolakha","Male","23999","2144","8022","5143","2886","16","31","11","1504","2137","1474","25","17","581","0","0","0","0","0","8"
"108","DISTRICT","Dolakha","Female","23601","1855","7889","5128","3053","22","28","14","1305","1873","1728","36","17","651","0","0","0","0","0","2"
"109","DISTRICT","Sindhupalchok","Total","74803","6200","24199","15150","8366","61","136","58","5889","6581","4734","143","73","3210","0","0","0","0","0","3"
"110","DISTRICT","Sindhupalchok","Male","37677","3240","12230","7458","4010","17","68","25","3166","3624","2252","63","32","1490","0","0","0","0","0","2"
"111","DISTRICT","Sindhupalchok","Female","37126","2960","11969","7692","4356","44","68","33","2723","2957","2482","80","41","1720","0","0","0","0","0","1"
"112","DISTRICT","Rasuwa","Total","13813","1206","4594","2583","1423","9","14","5","944","1264","1105","87","7","569","0","0","0","0","0","3"
"113","DISTRICT","Rasuwa","Male","7048","632","2346","1248","707","7","9","3","511","718","572","41","3","248","0","0","0","0","0","3"
"114","DISTRICT","Rasuwa","Female","6765","574","2248","1335","716","2","5","2","433","546","533","46","4","321","0","0","0","0","0","0"
"115","DISTRICT","Dhading","Total","96095","8210","31937","19644","10352","28","154","55","8172","8558","5534","188","67","3179","0","1","1","0","1","14"
"116","DISTRICT","Dhading","Male","48868","4420","16358","9870","5043","10","95","31","4603","4385","2471","94","34","1445","0","0","1","0","1","7"
"117","DISTRICT","Dhading","Female","47227","3790","15579","9774","5309","18","59","24","3569","4173","3063","94","33","1734","0","1","0","0","0","7"
"118","DISTRICT","Nuwakot","Total","75013","6310","25408","14870","7675","53","78","39","5472","6632","5539","103","69","2750","0","0","0","0","1","14"
"119","DISTRICT","Nuwakot","Male","37815","3372","12782","7393","3667","19","48","21","3015","3579","2592","46","31","1242","0","0","0","0","1","7"
"120","DISTRICT","Nuwakot","Female","37198","2938","12626","7477","4008","34","30","18","2457","3053","2947","57","38","1508","0","0","0","0","0","7"
"121","DISTRICT","Kathmandu","Total","404865","47648","147396","89014","45661","3251","508","494","17299","24196","17355","681","388","10937","1","1","0","0","3","32"
"122","DISTRICT","Kathmandu","Male","220033","26449","80328","47722","24315","2437","314","290","10071","13896","8122","368","214","5481","1","1","0","0","3","21"
"123","DISTRICT","Kathmandu","Female","184832","21199","67068","41292","21346","814","194","204","7228","10300","9233","313","174","5456","0","0","0","0","0","11"
"124","DISTRICT","Bhaktapur","Total","86598","10643","31976","18373","9612","64","216","55","3992","5302","4225","116","85","1934","0","1","0","0","1","3"
"125","DISTRICT","Bhaktapur","Male","46964","5948","17454","9850","5128","31","115","29","2255","3069","2040","52","46","946","0","1","0","0","0","0"
"126","DISTRICT","Bhaktapur","Female","39634","4695","14522","8523","4484","33","101","26","1737","2233","2185","64","39","988","0","0","0","0","1","3"
"127","DISTRICT","Lalitpur","Total","112533","12071","39601","24541","13679","192","286","85","5662","7224","5939","139","145","2959","0","1","0","0","1","8"
"128","DISTRICT","Lalitpur","Male","59796","6564","21151","12864","6953","161","135","43","3255","4189","2858","81","75","1463","0","0","0","0","0","4"
"129","DISTRICT","Lalitpur","Female","52737","5507","18450","11677","6726","31","151","42","2407","3035","3081","58","70","1496","0","1","0","0","1","4"
"130","DISTRICT","Kavrepalanchok","Total","91080","8457","30579","18858","10490","30","204","56","5594","7590","6315","99","76","2727","0","0","0","0","1","4"
"131","DISTRICT","Kavrepalanchok","Male","46918","4618","15849","9479","5177","14","112","36","3081","4246","2950","41","34","1277","0","0","0","0","0","4"
"132","DISTRICT","Kavrepalanchok","Female","44162","3839","14730","9379","5313","16","92","20","2513","3344","3365","58","42","1450","0","0","0","0","1","0"
"133","DISTRICT","Ramechhap","Total","48924","3558","15366","10797","6080","61","66","46","2929","4095","4261","93","42","1524","0","0","0","0","1","5"
"134","DISTRICT","Ramechhap","Male","24381","1875","7702","5279","2950","44","38","19","1544","2245","1931","34","18","699","0","0","0","0","1","2"
"135","DISTRICT","Ramechhap","Female","24543","1683","7664","5518","3130","17","28","27","1385","1850","2330","59","24","825","0","0","0","0","0","3"
"136","DISTRICT","Sindhuli","Total","101081","7602","32569","19621","10763","31","146","62","7807","9043","8033","146","70","5146","0","0","0","0","0","42"
"137","DISTRICT","Sindhuli","Male","50827","3958","16591","9821","5161","14","72","33","4084","5018","3764","56","31","2201","0","0","0","0","0","23"
"138","DISTRICT","Sindhuli","Female","50254","3644","15978","9800","5602","17","74","29","3723","4025","4269","90","39","2945","0","0","0","0","0","19"
"139","DISTRICT","Makwanpur","Total","146072","11444","45772","25842","12087","59","289","118","17105","17512","8623","165","130","6920","0","0","0","0","0","6"
"140","DISTRICT","Makwanpur","Male","75499","6053","23668","12791","5735","31","146","56","9897","9662","3992","81","67","3318","0","0","0","0","0","2"
"141","DISTRICT","Makwanpur","Female","70573","5391","22104","13051","6352","28","143","62","7208","7850","4631","84","63","3602","0","0","0","0","0","4"
"142","DISTRICT","Chitawan","Total","182615","18525","62366","35392","18443","80","278","167","13626","15897","11101","194","118","6400","0","2","0","0","6","20"
"143","DISTRICT","Chitawan","Male","96549","10214","33510","18607","9493","37","140","88","7731","8447","4907","98","61","3203","0","1","0","0","4","8"
"144","DISTRICT","Chitawan","Female","86066","8311","28856","16785","8950","43","138","79","5895","7450","6194","96","57","3197","0","1","0","0","2","12"
"145","DISTRICT","Gorkha","Total","68066","5082","23329","14953","8636","124","374","104","4301","5564","3304","132","104","1790","7","36","8","7","1","210"
"146","DISTRICT","Gorkha","Male","33999","2714","12057","7541","4213","62","189","53","2279","2468","1403","67","55","771","5","13","6","5","1","97"
"147","DISTRICT","Gorkha","Female","34067","2368","11272","7412","4423","62","185","51","2022","3096","1901","65","49","1019","2","23","2","2","0","113"
"148","DISTRICT","Manang","Total","927","115","296","172","89","5","0","2","92","86","46","3","1","18","0","1","0","0","1","0"
"149","DISTRICT","Manang","Male","492","58","151","77","52","5","0","1","51","56","28","1","1","10","0","0","0","0","1","0"
"150","DISTRICT","Manang","Female","435","57","145","95","37","0","0","1","41","30","18","2","0","8","0","1","0","0","0","0"
"151","DISTRICT","Mustang","Total","3984","489","1328","740","375","35","28","25","336","291","175","6","6","125","0","1","0","1","0","23"
"152","DISTRICT","Mustang","Male","2203","265","691","436","218","28","15","10","190","163","112","4","2","53","0","0","0","0","0","16"
"153","DISTRICT","Mustang","Female","1781","224","637","304","157","7","13","15","146","128","63","2","4","72","0","1","0","1","0","7"
"154","DISTRICT","Syangja","Total","60305","5554","20765","13361","8263","42","252","73","2082","3616","5084","59","100","839","4","37","3","7","2","162"
"155","DISTRICT","Syangja","Male","30856","3043","10958","6977","4229","16","127","35","1107","1770","2012","19","47","399","2","19","2","5","2","87"
"156","DISTRICT","Syangja","Female","29449","2511","9807","6384","4034","26","125","38","975","1846","3072","40","53","440","2","18","1","2","0","75"
"157","DISTRICT","Parbat","Total","33577","3303","12041","7249","4267","18","129","39","1359","1978","2317","12","35","696","3","9","3","6","1","112"
"158","DISTRICT","Parbat","Male","17352","1813","6424","3736","2192","8","68","14","757","903","1005","9","17","332","1","6","1","3","0","63"
"159","DISTRICT","Parbat","Female","16225","1490","5617","3513","2075","10","61","25","602","1075","1312","3","18","364","2","3","2","3","1","49"
"160","DISTRICT","Baglung","Total","75144","6815","26721","15764","8824","60","278","107","4345","5422","4829","68","86","1606","5","32","6","9","5","162"
"161","DISTRICT","Baglung","Male","37509","3685","14036","7955","4434","16","138","59","2039","2290","1975","27","36","707","3","20","3","6","5","75"
"162","DISTRICT","Baglung","Female","37635","3130","12685","7809","4390","44","140","48","2306","3132","2854","41","50","899","2","12","3","3","0","87"
"163","DISTRICT","Rukum (East)","Total","20745","1643","6964","3998","2381","19","66","18","1520","1689","1430","53","41","889","0","5","0","1","0","28"
"164","DISTRICT","Rukum (East)","Male","10221","831","3505","1989","1214","9","29","10","735","811","682","25","12","352","0","4","0","0","0","13"
"165","DISTRICT","Rukum (East)","Female","10524","812","3459","2009","1167","10","37","8","785","878","748","28","29","537","0","1","0","1","0","15"
"166","DISTRICT","Rolpa","Total","92226","6760","31193","17592","8471","109","191","134","9576","9647","5201","133","82","2993","5","31","3","4","0","101"
"167","DISTRICT","Rolpa","Male","44857","3567","15872","8616","3965","37","84","54","4699","4530","2126","38","36","1165","3","12","2","4","0","47"
"168","DISTRICT","Rolpa","Female","47369","3193","15321","8976","4506","72","107","80","4877","5117","3075","95","46","1828","2","19","1","0","0","54"
"169","DISTRICT","Pyuthan","Total","90746","7035","32386","17954","7811","94","265","94","9473","8985","3940","154","117","2346","0","31","4","2","0","55"
"170","DISTRICT","Pyuthan","Male","42936","3694","16603","8657","3681","24","118","50","4158","3423","1482","42","42","920","0","14","1","1","0","26"
"171","DISTRICT","Pyuthan","Female","47810","3341","15783","9297","4130","70","147","44","5315","5562","2458","112","75","1426","0","17","3","1","0","29"
"172","DISTRICT","Gulmi","Total","74528","7953","26042","15397","7401","52","206","112","5288","6130","4373","89","83","1336","1","17","2","0","0","46"
"173","DISTRICT","Gulmi","Male","36621","4329","13693","7754","3544","24","93","52","2624","2304","1457","41","28","642","0","8","1","0","0","27"
"174","DISTRICT","Gulmi","Female","37907","3624","12349","7643","3857","28","113","60","2664","3826","2916","48","55","694","1","9","1","0","0","19"
"175","DISTRICT","Rupandehi","Total","354761","39484","114523","64660","33369","279","942","673","27295","31509","23093","473","579","17191","14","76","7","11","2","581"
"176","DISTRICT","Rupandehi","Male","181714","21557","60382","33609","17578","119","458","350","13080","16153","10789","193","293","6800","7","41","3","7","0","295"
