"ID","AREA","MUD_BONDED_BRICKS_STONE","CEMENT_BONDED_BRICKS_STONE","WOOD_PLANKS","BAMBOO","UNBAKED_BRICKS","GALVANIZED_SHEET","PREFABRICATED_SHEET","OTHER"
"1","Nepal","2042978","3474957","210694","779922","28141","80989","2064","41096"
"2","Urban Municipalities","927269","2804054","140434","494568","19120","60455","1578","27221"
"3","Rural Municipalities","1115709","670903","70260","285354","9021","20534","486","13875"
"4","Mountain","287909","100574","5633","6821","493","7078","216","536"
"5","Hill","1322366","1451311","54312","53535","5165","50624","1110","6607"
"6","Tarai","432703","1923072","150749","719566","22483","23287","738","33953"
"7","Koshi","345610","505454","60716","237981","2052","34350","206","4386"
"8","Madhesh","113761","552229","41402","436375","2226","2065","177","8148"
"9","Bagmati","316144","1165039","24525","16356","2443","37045","1053","5312"
"10","Gandaki","270675","375767","5856","3335","1221","2785","193","1800"
"11","Lumbini","433174","608553","18824","51154","15563","1932","205","11940"
"12","Karnali","293784","62956","6549","809","671","758","158","352"
"13","Sudur Paschim","269830","204959","52822","33912","3965","2054","72","9158"
"14","Taplejung","23344","2068","1052","831","12","443","3","23"
"15","Sankhuwasabha","28114","2812","1230","5410","40","1385","1","126"
"16","Solukhumbu","22868","1741","563","295","16","722","5","29"
"17","Okhaldhunga","30833","2490","140","278","84","446","3","12"
"18","Khotang","37758","1786","465","1226","10","451","3","21"
"19","Bhojpur","34557","1119","471","1886","88","416","8","35"
"20","Dhankuta","25425","6732","882","2542","157","1823","2","53"
"21","Tehrathum","19341","1296","209","571","9","410","0","9"
"22","Panchthar","32921","4210","1424","2207","30","1612","2","31"
"23","Ilam","30072","15359","10171","7701","154","6881","8","155"
"24","Jhapa","8711","165147","11367","50772","433","7320","40","1229"
"25","Morang","17631","150084","16561","80773","461","5452","42","1156"
"26","Sunsari","13480","121784","7015","62772","437","5726","81","1112"
"27","Udayapur","20555","28826","9166","20717","121","1263","8","395"
"28","Saptari","13556","60733","3737","66790","257","658","97","988"
"29","Siraha","13624","73005","4891","55403","187","302","9","1128"
"30","Dhanusha","15279","96835","5164","57920","190","179","9","1515"
"31","Mahottari","10523","62811","4988","58181","184","111","14","1074"
"32","Sarlahi","16040","70249","7286","69883","174","129","14","1049"
"33","Rautahat","20764","58614","6037","50181","347","135","15","932"
"34","Bara","16709","68278","5997","38461","557","346","16","815"
"35","Parsa","7266","61704","3302","39556","330","205","3","647"
"36","Dolakha","24184","23478","693","54","22","998","18","46"
"37","Sindhupalchok","27446","41521","588","109","76","1795","31","131"
"38","Rasuwa","4063","5846","611","28","15","541","8","19"
"39","Dhading","34108","46736","543","220","83","1570","45","317"
"40","Nuwakot","24273","42755","209","84","46","1101","28","150"
"41","Kathmandu","21779","500003","1288","2008","748","15317","492","1257"
"42","Bhaktapur","9433","92998","419","350","203","4630","118","255"
"43","Lalitpur","15227","116377","675","768","193","6393","118","379"
"44","Kavrepalanchok","41427","46596","375","193","250","2148","55","286"
"45","Ramechhap","36858","8925","241","143","29","233","10","27"
"46","Sindhuli","27212","27943","5938","7463","84","263","8","406"
"47","Makwanpur","30017","64023","8360","845","195","1329","45","806"
"48","Chitawan","20117","147838","4585","4091","499","727","77","1233"
"49","Gorkha","27810","41861","747","154","89","957","13","98"
"50","Manang","1019","266","244","2","1","7","3","5"
"51","Mustang","2958","602","19","7","2","4","8","6"
"52","Myagdi","22507","5888","173","25","76","57","1","39"
"53","Kaski","24611","134022","339","108","185","524","27","600"
"54","Lamjung","22012","20822","309","213","46","587","9","76"
"55","Tanahu","35146","51459","954","380","88","217","30","239"
"56","Nawalparasi (East)","16356","71691","2575","2007","473","211","86","451"
"57","Syangja","41159","27174","109","213","33","53","4","178"
"58","Parbat","25849","9803","119","93","110","69","3","66"
"59","Baglung","51248","12179","268","133","118","99","9","42"
"60","Rukum (East)","12027","670","24","11","23","63","2","58"
"61","Rolpa","47856","3525","274","236","144","140","4","27"
"62","Pyuthan","47245","7939","441","436","71","49","1","13"
"63","Gulmi","52256","12718","352","437","239","83","1","14"
"64","Arghakhanchi","39412","7951","626","329","76","31","2","22"
"65","Palpa","41223","22534","365","591","159","72","6","41"
"66","Nawalparasi (West)","8298","61547","1552","9749","342","157","38","1026"
"67","Rupandehi","21709","208579","1829","2835","948","505","87","1679"
"68","Kapilbastu","30153","80064","3175","5989","640","376","9","1455"
"69","Dang","71802","74398","4279","4734","6734","133","32","154"
"70","Banke","31920","81561","3906","5198","2577","255","15","3802"
"71","Bardiya","29273","47067","2001","20609","3610","68","8","3649"
"72","Dolpa","8839","371","118","3","1","24","14","10"
"73","Mugu","11406","718","155","2","3","102","34","10"
"74","Humla","11041","92","26","2","0","19","22","2"
"75","Jumla","22357","1821","79","2","2","98","47","16"
"76","Kalikot","24828","1713","59","6","33","108","9","14"
"77","Dailekh","50138","4018","126","52","181","59","12","8"
"78","Jajarkot","34854","2196","93","50","167","72","4","17"
"79","Rukum (West)","31963","5138","47","15","54","62","2","9"
"80","Salyan","48315","5992","190","33","28","26","7","81"
"81","Surkhet","50043","40897","5656","644","202","188","7","185"
"82","Bajura","25617","1802","65","30","51","461","9","6"
"83","Bajhang","30747","6688","102","29","96","328","1","34"
"84","Darchula","19078","9035","29","11","123","43","3","59"
"85","Baitadi","39248","9813","35","17","239","31","0","24"
"86","Dadeldhura","21000","8301","1505","51","87","139","3","86"
"87","Doti","38330","5574","450","66","152","514","6","48"
"88","Achham","46318","2663","134","46","114","246","4","42"
"89","Kailali","34470","95359","33566","22715","2728","210","39","6785"
"90","Kanchanpur","15022","65724","16936","10947","375","82","7","2074"
